title,genres,overview
Inception,Action|Sci-Fi|Thriller,A thief who steals secrets through dream-sharing technology is given the task of planting an idea into the mind of a CEO.
The Matrix,Action|Sci-Fi,A computer programmer discovers reality is a simulation and joins a rebellion against the machines controlling it.
Gravity,Drama|Sci-Fi|Thriller,Two astronauts work together to survive after an accident leaves them adrift in space.
Interstellar,Adventure|Drama|Sci-Fi,A team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival.
Blade Runner 2049,Drama|Mystery|Sci-Fi,A young blade runner discovers a secret that leads him to track down former blade runner Rick Deckard.
Mad Max: Fury Road,Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, Max teams with a mysterious woman to flee a tyrannical warlord."
Iron Man,Action|Adventure|Sci-Fi,"After being held captive, billionaire engineer Tony Stark creates a unique weaponized suit of armor."
Black Panther,Action|Adventure|Sci-Fi,"T'Challa returns home to Wakanda to take his place as king, but his right to rule is challenged."
Avengers: Endgame,Action|Adventure|Sci-Fi,The Avengers assemble once more to reverse the devastating events of Thanos with the help of remaining allies.
The Dark Knight,Action|Crime|Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos and anarchy."
Sicario,Action|Crime|Drama,An idealistic FBI agent is enlisted by a government task force to aid in the war against drugs.
John Wick,Action|Crime|Thriller,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.
No Country for Old Men,Crime|Drama|Thriller,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and finds two million dollars.
Pulp Fiction,Crime|Drama,"The lives of two mob hitmen, a boxer, and a gangster's wife intertwine in four tales of violence and redemption."
Skyfall,Action|Adventure|Thriller,James Bond's loyalty to M is tested as her past comes back to haunt her in the form of a dangerous new villain.
The Bourne Identity,Action|Mystery|Thriller,"A man is rescued at sea with no memory and two bullets in his back, possessing dangerous combat skills."
Gladiator,Action|Adventure|Drama,"A Roman general is betrayed and his family murdered, then rises as a gladiator to exact his revenge."
Toy Story,Animation|Adventure|Comedy|Family,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Finding Nemo,Animation|Adventure|Comedy|Family,"After his son is captured in the Great Barrier Reef, a timid clownfish sets out on a journey to bring him home."
Up,Animation|Adventure|Comedy|Family,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Zootopia,Animation|Adventure|Comedy|Family,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Inside Out,Animation|Adventure|Comedy|Family,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions conflict on how best to navigate a new city."
Shrek,Animation|Adventure|Comedy|Family,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest to rescue a princess."
Frozen,Animation|Adventure|Comedy|Family|Musical,"When the queen of Arendelle inadvertently plunges her land into eternal winter, her sister embarks on a journey to break the spell."
Coco,Animation|Adventure|Comedy|Family|Musical,Aspiring musician Miguel is transported to the Land of the Dead and seeks the blessing of his deceased great-great-grandfather.
Get Out,Horror|Mystery|Thriller,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness reaches a boiling point."
The Conjuring,Horror|Mystery|Thriller,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
It,Horror|Thriller,"In 1989, a group of bullied kids band together to destroy a shape-shifting monster disguised as a clown that preys on children."
A Quiet Place,Horror|Sci-Fi|Thriller,A family is forced to live in near-silence while hiding from creatures that hunt exclusively by sound.
Hereditary,Drama|Horror|Mystery,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and terrifying secrets."
Midsommar,Drama|Horror|Mystery,A couple travel to Sweden to visit a rural folk festival that takes a dark turn when the locals reveal their true traditions.
Us,Horror|Mystery|Thriller,A family's vacation turns violent and surreal when mysterious doppelgangers begin to terrorize them.
La La Land,Comedy|Drama|Musical|Romance,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their professional dreams."
Titanic,Drama|Romance,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the ill-fated R.M.S. Titanic.
Forrest Gump,Drama|Romance,"The presidencies of Kennedy and Johnson, the Vietnam War, and other events unfold through the perspective of an Alabama man with an extraordinary life."
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Her,Drama|Romance|Sci-Fi,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The Notebook,Drama|Romance,"An elderly man reads from a notebook to a woman diagnosed with dementia, telling a story of two young lovers."
Fight Club,Drama|Thriller,An insomniac office worker forms an underground fight club with a soap salesman whose philosophy turns increasingly dangerous.
The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Silence of the Lambs,Crime|Drama|Thriller,A young FBI cadet must confide in an incarcerated cannibalistic killer to catch a serial murderer who skins his victims.
Gone Girl,Drama|Mystery|Thriller,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him."
The Lord of the Rings: The Fellowship of the Ring,Action|Adventure|Drama|Fantasy,A meek hobbit and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth.
Jurassic Park,Action|Adventure|Sci-Fi|Thriller,A pragmatic paleontologist tours an almost complete theme park of cloned dinosaurs that escapes containment.
The Avengers,Action|Adventure|Sci-Fi,Earth's mightiest heroes must come together to stop Loki and his alien army from enslaving humanity.
The Grand Budapest Hotel,Adventure|Comedy|Crime,"The adventures of Gustave H, a legendary concierge at a famous European hotel, and Zero Moustafa, his lobby boy."
Knives Out,Comedy|Crime|Drama|Mystery,"A detective investigates the death of a patriarch of an eccentric, combative family when a renowned crime novelist is found dead."
Parasite,Comedy|Drama|Thriller,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Jojo Rabbit,Comedy|Drama|War,A lonely German boy's world view is turned upside down when he discovers his single mother is hiding a Jewish girl in their attic.
